site,Coniferous,Deciduous,Crops,Grassland,Wetland,Tundra,Water,Urban,Semi-natural(Moorland),Desert/Barren,MeditBroadleaf
SE0014R,8.2,4.5,12.9,2.8,0,0,63.7,6.1,0.4,1.3,0.1
SE0022R,29.2,0,55,5.2,0.1,0,0.8,9.5,0,0,0
SE0020R,12.8,20.4,59.1,6.5,0,0,0,1.2,0,0,0
NO0001R,49,0,30.9,0.2,0,15.2,4.2,0,0,0,0.5
DK-09,0.8,8.4,76.9,1.7,0.6,0,1.1,10.4,0,0,0
DK-10,13,0.6,76.5,4,0.5,0,1.9,3.4,0,0,0
DK-11,17.1,0,32.4,42.2,1.4,0,0.1,1,5.4,0.4,0
NL10131,17.5,1,43.2,30.6,0.6,0,0.1,5.7,1.3,0,0
NL10444,0,0.2,35.4,43.4,0.6,0,4.3,16.3,0,0,0
NL10633,0,0,12.7,69.4,2.8,0,5.6,9.5,0,0,0
NL10738,50.8,8.7,11,4.3,0,0,0,2.4,20.8,1.9,0
